,Asset,Alpha,Date
0,BRD,0.11436614851191829,2022-05-23
1,NFTX,0.05038055798568529,2022-05-23
2,LRC,0.04919197616075396,2022-05-23
3,LDO,0.039185934549718845,2022-05-23
4,MANA,0.03594199318033443,2022-05-23
5,MX,0.028899065839833114,2022-05-23
6,QNT,0.024712124578185182,2022-05-23
7,SAN,0.024063724662947567,2022-05-23
8,CRO,0.017181500800968443,2022-05-23
9,CELR,0.015526587064184392,2022-05-23
10,KCS,0.015365319712439329,2022-05-23
11,AMPL,0.0151735499139515,2022-05-23
12,RPL,0.015135715545681197,2022-05-23
13,POWR,0.013606431814927794,2022-05-23
14,BADGER,0.01174246072012786,2022-05-23
15,LEO,0.011235422433310506,2022-05-23
16,GNO,0.01073177436948934,2022-05-23
17,POLY,0.00888249423668739,2022-05-23
18,CRV,0.007902936694109793,2022-05-23
19,QKC,0.005100033894065516,2022-05-23
20,STAKE,0.004428873533998602,2022-05-23
21,BAT,0.0029342113823845354,2022-05-23
22,BTC,0.00230466762073726,2022-05-23
23,WBTC,0.0021512912442100667,2022-05-23
24,STORJ,0.0018374262726502002,2022-05-23
25,ANT,0.0014701695331029632,2022-05-23
26,DENT,0.0014292235523200056,2022-05-23
27,LOOM,-5.0073991513193035e-05,2022-05-23
28,ETH,-0.00019260283958294066,2022-05-23
29,sUSD,-0.0006922918756003427,2022-05-23
30,GUSD,-0.0006992591605301467,2022-05-23
31,FTT,-0.0008315628705794871,2022-05-23
32,CVC,-0.0011079791367565514,2022-05-23
33,DDX,-0.0011443252144788148,2022-05-23
34,DAI,-0.0012059862144434114,2022-05-23
35,USDK,-0.0012823835703876577,2022-05-23
36,USDP,-0.001301186755864015,2022-05-23
37,OKB,-0.0018146549517228435,2022-05-23
38,REN,-0.002391913142709647,2022-05-23
39,MTL,-0.00258658676202461,2022-05-23
40,HOT,-0.0033189124690451294,2022-05-23
41,ZRX,-0.003620173330424815,2022-05-23
42,OCEAN,-0.003639983255418382,2022-05-23
43,EURS,-0.0037454044949354584,2022-05-23
44,MFT,-0.004387626795964094,2022-05-23
45,OMG,-0.0048269854657105316,2022-05-23
46,ELF,-0.005429391199396198,2022-05-23
47,FUN,-0.005521940750843444,2022-05-23
48,VERI,-0.00619906234514786,2022-05-23
49,AAVE,-0.006664781969107816,2022-05-23
50,CVP,-0.007156724574172178,2022-05-23
51,ENJ,-0.007484473968306516,2022-05-23
52,MTA,-0.008270671274757602,2022-05-23
53,NEXO,-0.008526641543984394,2022-05-23
54,UTK,-0.008624492170552759,2022-05-23
55,ABT,-0.009356555333470417,2022-05-23
56,MATIC,-0.010189318034218136,2022-05-23
57,UBT,-0.01036335687234586,2022-05-23
58,FET,-0.010560057107277695,2022-05-23
59,RSR,-0.012668330434679513,2022-05-23
60,RLC,-0.01281519851011875,2022-05-23
61,PNT,-0.012857700446603927,2022-05-23
62,QASH,-0.013256952847567189,2022-05-23
63,DRGN,-0.01350158305921306,2022-05-23
64,CREAM,-0.01448905210527643,2022-05-23
65,REP,-0.01450838868965431,2022-05-23
66,WaBi,-0.014983813792281395,2022-05-23
67,ROOK,-0.015339456360689376,2022-05-23
68,LTC,-0.015351653103342584,2022-05-23
69,MKR,-0.0155061643143098,2022-05-23
70,HT,-0.015989548724783677,2022-05-23
71,wNXM,-0.01653497928257223,2022-05-23
72,SNT,-0.016743999409620985,2022-05-23
73,SNX,-0.016900798230542878,2022-05-23
74,BAND,-0.017093027232077226,2022-05-23
75,UMA,-0.017763453959268403,2022-05-23
76,PNK,-0.01796377771263873,2022-05-23
77,MLN,-0.01895554708711265,2022-05-23
78,PICKLE,-0.01971083863762705,2022-05-23
79,MCB,-0.020273141245582937,2022-05-23
80,BNT,-0.020365792513708927,2022-05-23
81,LINK,-0.02127029659336613,2022-05-23
82,UNI,-0.021311364984812963,2022-05-23
83,YFI,-0.022533381720139495,2022-05-23
84,HPT,-0.023001230017695138,2022-05-23
85,BAL,-0.02313004325372754,2022-05-23
86,WTC,-0.023716069455665217,2022-05-23
87,CHSB,-0.024169383390182132,2022-05-23
88,SUSHI,-0.024282360947187186,2022-05-23
89,RDN,-0.02533361487879318,2022-05-23
90,COMP,-0.025555746361712223,2022-05-23
91,DODO,-0.026469557696801753,2022-05-23
92,BOND,-0.026648982310512846,2022-05-23
93,NMR,-0.027064235718054643,2022-05-23
94,PERP,-0.03236204668929155,2022-05-23
95,BZRX,-0.03383903751603147,2022-05-23
96,TEL,-0.03970882430415213,2022-05-23
97,MIR,-0.04100002417335809,2022-05-23
98,HEGIC,-0.04158446411275442,2022-05-23
99,PPT,-0.04715515407129136,2022-05-23
