,Date,Price,MarketCap,ActiveAddress,RiskFree,Asset
0,2008-12-29,,,0.0,0.0004,BTC
1,2009-01-05,,,0.0,0.0005,BTC
2,2009-01-12,,,34.0,0.0004,BTC
3,2009-01-19,,,63.0,,BTC
4,2009-01-26,,,61.0,0.0002,BTC
5,2009-02-02,,,45.0,0.0019,BTC
6,2009-02-09,,,75.0,0.0022,BTC
7,2009-02-16,,,59.0,,BTC
8,2009-02-23,,,45.0,0.0019,BTC
9,2009-03-02,,,69.0,0.0017000000000000001,BTC
10,2009-03-09,,,17.0,0.0012,BTC
11,2009-03-16,,,87.0,0.0011,BTC
12,2009-03-23,,,50.0,0.001,BTC
13,2009-03-30,,,51.0,0.0005,BTC
14,2009-04-06,,,16.0,0.0016,BTC
15,2009-04-13,,,16.0,0.0012,BTC
16,2009-04-20,,,135.0,0.0004,BTC
17,2009-04-27,,,41.0,0.0007000000000000001,BTC
18,2009-05-04,,,41.0,0.0014000000000000002,BTC
19,2009-05-11,,,25.0,0.0016,BTC
20,2009-05-18,,,0.0,0.0012,BTC
21,2009-05-25,,,61.0,,BTC
22,2009-06-01,,,2.0,0.0013,BTC
23,2009-06-08,,,0.0,0.0008,BTC
24,2009-06-15,,,0.0,0.0008,BTC
25,2009-06-22,,,88.0,0.0012,BTC
26,2009-06-29,,,8.0,0.0011,BTC
27,2009-07-06,,,0.0,0.0015,BTC
28,2009-07-13,,,0.0,0.0015,BTC
29,2009-07-20,,,122.0,0.0015,BTC
30,2009-07-27,,,5.0,0.0015,BTC
31,2009-08-03,,,112.0,0.0015,BTC
32,2009-08-10,,,0.0,0.0015,BTC
33,2009-08-17,,,0.0,0.0011,BTC
34,2009-08-24,,,50.0,0.0011,BTC
35,2009-08-31,,,21.0,0.0011,BTC
36,2009-09-07,,,14.0,,BTC
37,2009-09-14,,,103.0,0.0008,BTC
38,2009-09-21,,,92.0,0.0005,BTC
39,2009-09-28,,,55.0,0.0003,BTC
40,2009-10-05,,,15.0,0.0004,BTC
41,2009-10-12,,,161.0,,BTC
42,2009-10-19,,,166.0,0.0006,BTC
43,2009-10-26,,,59.0,0.0004,BTC
44,2009-11-02,,,42.0,0.0003,BTC
45,2009-11-09,,,64.0,0.0006,BTC
46,2009-11-16,,,83.0,0.0005,BTC
47,2009-11-23,,,0.0,0.0005,BTC
48,2009-11-30,,,191.0,0.0008,BTC
49,2009-12-07,,,119.0,0.0007000000000000001,BTC
50,2009-12-14,,,373.0,0.0002,BTC
51,2009-12-21,,,10.0,0.0001,BTC
52,2009-12-28,,,4.0,0.0003,BTC
53,2010-01-04,,,85.0,0.0005,BTC
54,2010-01-11,,,241.0,0.0001,BTC
55,2010-01-18,,,24.0,,BTC
56,2010-01-25,,,191.0,0.0002,BTC
57,2010-02-01,,,383.0,0.0005,BTC
58,2010-02-08,,,1413.0,0.0004,BTC
59,2010-02-15,,,358.0,,BTC
60,2010-02-22,,,669.0,0.0006,BTC
61,2010-03-01,,,784.0,0.0009,BTC
62,2010-03-08,,,438.0,0.0011,BTC
63,2010-03-15,,,371.0,0.0012,BTC
64,2010-03-22,,,636.0,0.0013,BTC
65,2010-03-29,,,266.0,0.0011,BTC
66,2010-04-05,,,978.0,0.0016,BTC
67,2010-04-12,,,4543.0,0.0015,BTC
68,2010-04-19,,,1121.0,0.0015,BTC
69,2010-04-26,,,558.0,0.0014000000000000002,BTC
70,2010-05-03,,,1210.0,0.0014000000000000002,BTC
71,2010-05-10,,,674.0,0.0013,BTC
72,2010-05-17,,,1016.0,0.0016,BTC
73,2010-05-24,,,1087.0,0.0016,BTC
74,2010-05-31,,,945.0,,BTC
75,2010-06-07,,,1299.0,0.001,BTC
76,2010-06-14,,,1137.0,0.0002,BTC
77,2010-06-21,,,1017.0,0.0005,BTC
78,2010-06-28,,,1423.0,0.0007000000000000001,BTC
79,2010-07-05,,,1419.0,,BTC
80,2010-07-12,0.08584000000000001,295941.984,13932.0,0.0016,BTC
81,2010-07-19,0.0505,177517.6,5337.0,0.0015,BTC
82,2010-07-26,0.0611,218970.18,3251.0,0.0015,BTC
83,2010-08-02,0.0609,222610.815,3268.0,0.0014000000000000002,BTC
84,2010-08-09,0.06529,243665.5445,2811.0,0.0014000000000000002,BTC
85,2010-08-16,0.066,250017.90000000002,2778.0,0.0015,BTC
86,2010-08-23,0.064,246784.0,2365.0,0.0015,BTC
87,2010-08-30,0.0616,241090.08000000002,2515.0,0.0016,BTC
88,2010-09-06,0.061500000000000006,244179.6,2274.0,,BTC
89,2010-09-13,0.0627,253383.24000000002,3336.0,0.001,BTC
90,2010-09-20,0.06219,255747.0465,4524.0,0.0012,BTC
91,2010-09-27,0.061110000000000005,254749.25700000004,5622.0,0.0008,BTC
92,2010-10-04,0.0965,407587.05,3521.0,0.0015,BTC
93,2010-10-11,0.10200000000000001,437957.39999999997,3425.0,,BTC
94,2010-10-18,0.11501000000000001,502380.9315,5200.0,0.0014000000000000002,BTC
95,2010-10-25,0.1925,855595.125,3859.0,0.0013,BTC
96,2010-11-01,0.34,1535355.0,2737.0,0.0014000000000000002,BTC
97,2010-11-08,0.27904,1281867.904,3703.0,0.0012,BTC
98,2010-11-15,0.27675,1289433.6,9636.0,0.0012,BTC
99,2010-11-22,0.271081967213114,1279384.8983606545,4179.0,0.0012,BTC
